,Image Height,Image_Width,subject_name,subject_x,subject_y,subject_width,subject_height,object_name,object_x,object_y,object_width,object_height
140,600,800,computer monitor,244.5,328.5,101,101,desk,278.5,410.5,317,107
141,600,800,fax machine,357.0,395.5,92,35,desk,278.5,410.5,317,107
142,600,800,keyboard,298.0,414.0,116,26,desk,278.5,410.5,317,107
143,600,800,cork - board,633.0,499.0,162,138,wall,591.0,268.5,404,519
144,600,800,keyboard,298.0,414.0,116,26,desk,278.5,410.5,317,107
145,600,800,paper,651.0,502.0,52,68,cork - board,633.0,499.0,162,138
146,600,800,air conditioner,276.0,48.5,180,57,wall,267.5,267.0,245,528
147,600,800,shelf,611.0,183.0,372,102,wall,591.0,268.5,404,519
148,600,800,book,614.0,159.0,370,142,shelf,611.0,183.0,372,102
149,600,800,room,397.5,300.5,795,597,computer,378.5,516.5,63,127
150,600,800,chair,231.0,479.0,174,238,desk,278.5,410.5,317,107
151,600,800,shelf,611.0,183.0,372,102,wall,591.0,268.5,404,519
152,600,800,rail,93.0,373.5,88,103,rail,90.0,379.0,82,96
153,600,800,clothe,454.0,513.5,148,167,chair,460.0,473.5,166,251
154,600,800,heater,477.5,563.5,113,69,floor,176.5,544.0,349,108
155,600,800,chair,231.0,478.0,174,240,wall,591.0,268.5,404,519
156,600,800,air conditioner,276.0,48.5,180,57,wall,267.5,267.0,245,528
157,600,800,chair,460.0,473.5,166,251,wall,591.0,268.5,404,519
158,600,800,apple,283.0,98.5,60,47,counter,279.0,71.0,68,114
159,600,800,sport bottle,539.0,120.0,104,90,lid,741.5,463.5,113,265
160,600,800,milk,283.0,98.5,60,47,glass,279.0,71.0,68,114
161,600,800,glass,279.0,71.0,68,114,milk,283.0,98.5,60,47
162,600,800,top,539.0,120.0,104,90,water bottle,537.0,230.5,122,307
163,600,800,water bottle,537.0,230.5,122,307,top,539.0,120.0,104,90
164,600,800,drawer,741.5,463.5,113,265,handle,761.5,498.0,29,26
165,600,800,fork,139.0,173.5,56,73,plate,157.0,160.5,238,117
166,600,800,glass,279.0,71.0,68,114,liquid,283.5,101.5,57,51
167,600,800,liquid,283.5,101.5,57,51,glass,279.0,71.0,68,114
168,600,800,bar stool,150.0,262.5,300,521,counter,400.5,271.0,797,520
169,600,800,bar stool,150.0,262.5,300,521,counter,400.5,271.0,797,520
170,600,800,glass,279.0,71.0,68,114,milk,283.0,98.5,60,47
171,600,800,glass,279.0,71.0,68,114,milk,283.0,98.5,60,47
172,600,800,milk,283.0,98.5,60,47,glass,279.0,71.0,68,114
173,600,800,bag,701.0,180.0,144,158,table,400.5,271.0,797,520
174,600,800,bowl,500.0,65.0,212,126,counter,400.5,271.0,797,520
175,600,800,bowl,692.5,131.0,187,116,counter,400.5,271.0,797,520
176,600,800,pan,737.0,60.0,122,76,counter,400.5,271.0,797,520
177,600,800,food,411.5,141.0,117,78,bag,415.5,115.0,133,134
178,600,800,bag,415.5,115.0,133,134,counter,400.5,271.0,797,520
179,600,800,food,411.5,141.0,117,78,bag,415.5,115.0,133,134
180,600,800,glass,302.0,39.0,54,78,counter,400.5,271.0,797,520
181,600,800,glass,279.0,71.0,68,114,counter,400.5,271.0,797,520
182,600,800,glass,221.5,49.0,59,98,counter,400.5,271.0,797,520
183,600,800,apple,402.0,292.5,126,119,counter,400.5,271.0,797,520
184,600,800,glass,279.0,71.0,68,114,milk,283.0,98.5,60,47
185,600,800,food,411.5,141.0,117,78,bag,415.5,115.0,133,134
186,600,800,bag,701.0,180.0,144,158,bowl,692.5,131.0,187,116
187,600,800,apple,402.0,292.5,126,119,counter,400.5,271.0,797,520
188,600,800,fork,139.0,173.5,56,73,plate,157.0,160.5,238,117
189,600,800,container,692.5,131.0,187,116,cover,673.5,79.0,147,46
190,600,800,glass,302.0,39.0,54,78,counter,400.5,271.0,797,520
191,600,800,glass,221.5,49.0,59,98,counter,400.5,271.0,797,520
192,600,800,fork,139.0,173.5,56,73,plate,157.0,160.5,238,117
193,600,800,glass,279.0,71.0,68,114,milk,283.0,98.5,60,47
194,600,800,milk,283.0,98.5,60,47,glass,279.0,71.0,68,114
195,600,800,apple,402.0,292.5,126,119,counter,400.5,271.0,797,520
196,600,800,fork,139.0,173.5,56,73,plate,157.0,160.5,238,117
197,600,800,bag,701.0,180.0,144,158,container,692.5,131.0,187,116
198,600,800,leg,34.5,333.0,55,130,counter,400.5,271.0,797,520
199,600,800,chair,150.0,262.5,300,521,leg,179.5,412.5,83,203
200,600,800,chair,150.0,262.5,300,521,leg,34.5,333.0,55,130
201,600,800,crumb,213.0,159.5,8,11,plate,157.0,160.5,238,117
202,600,800,crumb,95.0,182.0,20,14,plate,157.0,160.5,238,117
203,600,800,bottle,537.0,230.5,122,307,logo,538.0,312.0,108,112
204,600,800,glass,279.0,71.0,68,114,milk,283.0,98.5,60,47
205,600,800,bag,415.5,115.0,133,134,food,411.5,141.0,117,78
206,600,800,book,746.0,555.0,50,56,desk,689.5,553.5,213,77
207,600,800,juice bottle,211.0,383.0,36,58,desk,335.5,453.0,559,110
208,600,800,sticky note,283.0,374.0,34,26,monitor,307.0,320.0,170,130
209,600,800,woman,155.0,456.5,310,285,hair,19.0,344.5,28,49
210,600,800,white board,142.0,137.5,278,207,writing,69.5,147.0,99,164
211,600,800,telephone,567.5,425.5,85,65,desk,335.5,453.0,559,110
212,600,800,headphone,296.0,440.0,66,32,desk,335.5,453.0,559,110
213,600,800,woman,155.0,456.5,310,285,monitor,307.0,320.0,170,130
214,600,800,woman,134.0,452.5,256,287,pant,133.5,571.0,73,44
215,600,800,paper,118.5,379.5,99,45,board,142.0,137.5,278,207
216,600,800,cpu,405.0,572.5,72,47,floor,312.5,562.5,257,73
217,600,800,pen,136.5,442.0,35,12,book,137.0,440.0,90,38
218,600,800,mouse,428.5,436.5,39,17,desk,335.5,453.0,559,110
219,600,800,white board,142.0,137.5,278,207,wall,141.5,190.5,281,373
220,600,800,bracelet,195.0,542.5,10,17,wrist,191.0,543.5,34,29
221,600,800,wrist pad,306.0,419.5,150,13,keyboard,314.5,410.5,143,37
222,600,800,mouse,428.5,436.5,39,17,mousepad,417.5,440.5,77,25
223,600,800,cd player,203.5,420.0,49,24,headphone,296.0,440.0,66,32
224,600,800,cereal,482.0,364.5,46,77,desk,335.5,453.0,559,110
225,600,800,pen,136.5,442.0,35,12,book,137.0,440.0,90,38
226,600,800,woman,134.0,452.5,256,287,earre,21.5,395.0,13,22
227,600,800,water bottle,493.0,396.0,28,70,desk,335.5,453.0,559,110
228,600,800,cable,403.0,521.0,36,88,desk,335.5,453.0,559,110
229,600,800,mouse,428.5,436.5,39,17,mousepad,417.5,440.5,77,25
230,600,800,monitor,307.0,320.0,170,130,keyboard,314.5,410.5,143,37
231,600,800,white board,142.0,137.5,278,207,writing,69.5,147.0,99,164
232,600,800,mug,469.0,407.0,26,38,desk,335.5,453.0,559,110
233,600,800,laptop,678.0,522.5,178,83,laptop,678.0,521.5,176,83
234,600,800,juice bottle,211.0,383.0,36,58,lid,209.5,361.0,15,10
235,600,800,woman,134.0,452.5,256,287,sweater,100.0,498.5,196,183
236,600,800,headphone,296.0,440.0,66,32,desk,335.5,453.0,559,110
237,600,800,water bottle,493.0,396.0,28,70,desk,335.5,453.0,559,110
238,600,800,mug,469.0,407.0,26,38,telephone,567.5,425.5,85,65
239,600,800,juice bottle,211.0,383.0,36,58,desk,335.5,453.0,559,110
240,600,800,laptop,678.0,522.5,178,83,desk,689.5,553.5,213,77
241,600,800,headphone,296.0,440.0,66,32,desk,335.5,453.0,559,110
242,600,800,tape dispenser,578.0,472.5,46,45,desk,335.5,453.0,559,110
243,600,800,woman,134.0,452.5,256,287,blue jeans,199.5,564.5,225,69
244,600,800,woman,134.0,452.5,256,287,sweater,100.0,498.5,196,183
245,600,800,woman,134.0,452.5,256,287,desk,335.5,453.0,559,110
246,600,800,sticky note,283.0,374.0,34,26,monitor,307.0,320.0,170,130
247,600,800,woman,134.0,452.5,256,287,chair,151.0,574.5,300,49
248,600,800,water bottle,493.0,396.0,28,70,label,494.5,391.0,21,22
249,600,800,mug,469.0,407.0,26,38,telephone,567.5,425.5,85,65
250,600,800,cereal,482.0,364.5,46,77,water bottle,493.0,396.0,28,70
251,600,800,calculator,508.5,450.5,49,39,book,504.0,467.0,170,98
252,600,800,tape dispenser,578.0,472.5,46,45,desk,335.5,453.0,559,110
253,600,800,cable,403.0,521.0,36,88,desk,335.5,453.0,559,110
254,600,800,pen,136.5,442.0,35,12,desk,335.5,453.0,559,110
255,600,800,headphone,296.0,440.0,66,32,desk,335.5,453.0,559,110
256,600,800,white board,142.0,137.5,278,207,writing,69.5,147.0,99,164
257,600,800,mouse,428.5,436.5,39,17,desk,335.5,453.0,559,110
258,600,800,woman,134.0,452.5,256,287,sweater,100.0,498.5,196,183
259,600,800,telephone,567.5,425.5,85,65,desk,335.5,453.0,559,110
260,600,800,juice bottle,211.0,383.0,36,58,monitor,307.0,320.0,170,130
261,600,800,man,250.0,442.0,266,312,sleeve,280.5,432.0,117,96
262,600,800,cd,703.0,571.0,74,42,desk,689.5,497.5,219,191
263,600,800,coffee mug,475.0,436.0,44,70,desk,299.0,462.5,544,267
264,600,800,hand,358.0,423.5,48,47,keyboard,359.5,415.0,155,64
265,600,800,coffee mug,475.0,436.0,44,70,desk,299.0,462.5,544,267
266,600,800,man,250.0,442.0,266,312,glass,246.0,335.0,28,26
267,600,800,man,250.0,442.0,266,312,shirt,230.0,487.5,230,225
268,600,800,dish,191.0,269.5,40,31,cpu,182.5,336.5,113,131
269,600,800,picture,747.5,171.5,97,73,wall,697.5,217.0,203,434
270,600,800,container,191.0,269.5,40,31,computer,182.5,336.5,113,131
271,600,800,boy,250.0,442.0,266,312,glass,246.0,335.0,28,26
272,600,800,boy,250.0,442.0,266,312,computer,182.5,336.5,113,131
273,600,800,stapler,531.0,461.5,22,35,desk,299.0,462.5,544,267
274,600,800,bag,744.5,301.5,81,27,paper,735.5,308.0,127,46
275,600,800,photograph,747.5,171.5,97,73,wall,697.5,217.0,203,434
276,600,800,drawer,440.5,538.5,131,85,desk,299.0,462.5,544,267
277,600,800,cup,155.0,193.0,26,52,shelf,103.5,233.0,207,36
278,600,800,stapler,531.0,461.5,22,35,coffee mug,475.0,436.0,44,70
279,600,800,cd,703.0,571.0,74,42,mug,741.0,501.0,44,58
280,600,800,cd,703.0,571.0,74,42,front,700.0,567.5,196,63
281,600,800,picture,747.5,171.5,97,73,wall,697.5,217.0,203,434
282,600,800,bulletin board,684.5,391.0,193,182,paper,673.5,379.5,177,129
283,600,800,file,699.0,297.5,66,15,desk,689.5,497.5,219,191
284,600,800,paper,735.5,308.0,127,46,desk,689.5,497.5,219,191
285,600,800,man,250.0,442.0,266,312,chin,243.5,371.5,29,23
286,600,800,man,250.0,442.0,266,312,computer,360.0,331.5,126,123
287,600,800,folder,504.5,386.0,91,142,paper,504.0,367.0,60,60
288,600,800,dish,191.0,269.5,40,31,cpu,182.5,336.5,113,131
289,600,800,hand,358.0,423.5,48,47,keyboard,359.5,415.0,155,64
290,600,800,man,250.0,442.0,266,312,hand,358.0,423.5,48,47
291,600,800,picture,747.5,171.5,97,73,wall,697.5,217.0,203,434
292,600,800,book,82.0,78.5,160,93,shelf,103.5,233.0,207,36
293,600,800,guy,250.0,442.0,266,312,glass,246.0,335.0,28,26
294,600,800,mouse,438.5,440.5,35,29,keyboard,359.5,415.0,155,64
295,600,800,mouse,438.5,440.5,35,29,desk,299.0,462.5,544,267
296,600,800,hand,358.0,423.5,48,47,keyboard,359.5,415.0,155,64
297,600,800,guy,250.0,442.0,266,312,hand,358.0,423.5,48,47
298,600,800,coffee mug,475.0,436.0,44,70,desk,299.0,462.5,544,267
299,600,800,cd,703.0,571.0,74,42,desk,689.5,497.5,219,191
300,600,800,man,250.0,442.0,266,312,glass,246.0,335.0,28,26
301,600,800,dish,191.0,269.5,40,31,cpu,182.5,336.5,113,131
302,600,800,book,115.0,186.0,58,64,shelf,103.5,233.0,207,36
303,600,800,cd,703.0,571.0,74,42,drawer,688.5,576.5,189,45
304,600,800,cpu,182.5,336.5,113,131,book,82.0,78.5,160,93
305,600,800,man,250.0,442.0,266,312,glass,246.0,335.0,28,26
306,600,800,paper,504.0,367.0,60,60,holder,504.5,386.0,91,142
307,600,800,man,250.0,442.0,266,312,sleeve,280.5,432.0,117,96
308,600,800,man,250.0,442.0,266,312,pant,287.0,554.5,158,89
309,600,800,man,250.0,442.0,266,312,shirt,230.0,487.5,230,225
310,600,800,dish,191.0,269.5,40,31,cpu,182.5,336.5,113,131
311,600,800,stapler,531.0,461.5,22,35,desk,299.0,462.5,544,267
312,600,800,keyboard,359.5,415.0,155,64,computer,182.5,336.5,113,131
313,600,800,shelf,116.5,132.5,227,261,book,82.0,78.5,160,93
314,480,640,room,321.5,239.5,635,477,light,374.5,51.0,331,88
315,480,640,mouse pad,99.5,434.5,89,39,desk,86.0,433.0,162,92
316,480,640,bottle,138.0,300.5,24,39,desk,155.5,312.5,169,65
317,480,640,windows,494.0,167.5,286,173,outside,604.5,168.5,69,151
318,480,640,blind,391.5,155.5,91,143,window,400.0,161.5,92,157
319,480,640,poster,119.0,381.5,100,85,wall,104.0,397.0,156,148
320,480,640,monitor,318.5,239.5,65,59,desk,350.0,306.5,178,93
321,480,640,shelf,216.5,250.5,97,225,book,226.5,237.5,59,43
322,480,640,keyboard,567.0,286.0,50,18,desk,570.5,271.0,135,60
323,480,640,light,464.5,29.0,99,40,room,321.5,239.5,635,477
324,480,640,light,255.5,42.5,87,33,room,321.5,239.5,635,477
325,480,640,bin,443.0,323.0,36,52,floor,323.0,383.0,634,194
326,480,640,baby,249.5,139.0,27,38,bookshelf,216.5,250.5,97,225
327,480,640,monitor,149.0,259.0,106,76,bottle,138.0,300.5,24,39
328,480,640,computer,570.0,268.0,54,50,desk,570.5,271.0,135,60
329,480,640,cork - board,55.0,187.0,66,104,wall,104.0,397.0,156,148
330,480,640,tower,281.0,314.0,56,74,floor,323.0,383.0,634,194
331,480,640,shelf,216.5,250.5,97,225,wall,104.0,397.0,156,148
332,480,640,keyboard,567.0,286.0,50,18,desk,570.5,271.0,135,60
333,480,640,corkboard,55.0,187.0,66,104,wall,104.0,397.0,156,148
334,480,640,bottle,138.0,300.5,24,39,desk,155.5,312.5,169,65
335,480,640,bin,443.0,323.0,36,52,desk,343.0,268.0,184,42
336,480,640,tower,281.0,314.0,56,74,desk,343.0,268.0,184,42
337,480,640,light,374.5,51.0,331,88,room,321.5,239.5,635,477
338,480,640,book,226.5,237.5,59,43,shelf,216.5,250.5,97,225
339,480,640,cable,362.0,315.5,128,59,floor,323.0,383.0,634,194
340,480,640,book,450.0,403.5,80,43,desk,513.0,423.0,250,112
341,480,640,cable,362.0,315.5,128,59,floor,323.0,383.0,634,194
342,480,640,light,374.5,51.0,331,88,room,321.5,239.5,635,477
343,480,640,bin,443.0,323.0,36,52,floor,323.0,383.0,634,194
344,480,640,computer,570.0,268.0,54,50,desk,570.5,271.0,135,60
345,480,640,shelf,216.5,250.5,97,225,wall,104.0,397.0,156,148
346,480,640,book,450.0,403.5,80,43,paper,461.0,392.0,68,40
347,480,640,chair,203.5,357.0,101,146,wheel,238.0,416.0,14,16
348,480,640,tube,194.5,139.5,87,17,shelf,216.5,250.5,97,225
349,480,640,book,450.0,403.5,80,43,desk,513.0,423.0,250,112
350,480,640,computer,570.0,268.0,54,50,desk,570.5,271.0,135,60
351,480,640,tower,281.0,314.0,56,74,floor,323.0,383.0,634,194
352,480,640,baby,249.5,139.0,27,38,shelf,216.5,250.5,97,225
353,480,640,corkboard,55.0,187.0,66,104,wall,104.0,397.0,156,148
354,600,800,headphone,71.5,512.0,99,48,desk,236.0,483.5,472,231
355,600,800,charger,242.5,557.0,23,28,cable,199.5,571.0,77,18
356,600,800,cpu,402.5,498.0,97,126,floor,437.5,535.0,721,126
357,600,800,cpu,466.5,497.0,89,122,floor,437.5,535.0,721,126
358,600,800,man,640.0,344.5,128,149,coat,605.0,462.0,146,216
359,600,800,coat,605.0,462.0,146,216,floor,437.5,535.0,721,126
360,600,800,headphone,71.5,512.0,99,48,table,236.0,483.5,472,231
361,600,800,board,194.5,214.5,105,145,wall,401.0,267.0,796,530
362,600,800,jacket,605.0,462.0,146,216,chair,636.5,453.5,157,203
363,600,800,chair,636.5,453.5,157,203,back,616.0,422.0,116,140
364,600,800,computer tower,402.5,498.0,97,126,floor,437.5,535.0,721,126
365,600,800,computer tower,466.5,497.0,89,122,floor,437.5,535.0,721,126
366,600,800,bookshelf,510.0,330.0,174,358,wall,401.0,267.0,796,530
367,600,800,paper,508.0,377.5,96,41,shelf,522.5,336.0,127,18
368,600,800,paper,508.0,377.5,96,41,shelf,511.5,395.0,103,16
369,600,800,paper,503.5,426.5,95,51,shelf,511.5,395.0,103,16
370,600,800,paper,503.5,426.5,95,51,shelf,515.0,448.0,58,18
371,600,800,paper,526.5,466.0,45,32,shelf,515.0,448.0,58,18
372,600,800,paper,526.5,466.0,45,32,shelf,539.0,489.5,58,37
373,600,800,cup,75.0,461.5,36,41,table,236.0,483.5,472,231
374,600,800,paper,157.0,462.0,314,162,desk,236.0,483.5,472,231
375,600,800,man,640.0,344.5,128,149,jacket,605.0,462.0,146,216
376,600,800,jacket,605.0,462.0,146,216,floor,437.5,535.0,721,126
377,600,800,man,71.5,512.0,99,48,sleeve,236.0,483.5,472,231
378,600,800,wire,242.5,557.0,23,28,desk,199.5,571.0,77,18
